"Orthogroup","anno"
"OG0005662","Lysozymes"
"OG0005669","Other Humoral response"
"OG0005704","JNK pathway"
"OG0005718","IMD pathway"
"OG0005727","Melanization"
"OG0005753","Hematopoesis and cellular response"
"OG0005779","IMD pathway"
"OG0005791","TOLL pathway"
"OG0005800","JNK pathway"
"OG0005822","JNK pathway"
"OG0005833","TOLL pathway"
"OG0005851","TOLL pathway"
"OG0005853","Apoptosis/ Autophagy (autophagy)"
"OG0005858","Cellular immune response"
"OG0005882","IMD pathway"
"OG0005973","MAKP-JNK-p38 pathways"
"OG0005974","Cellular immune response"
"OG0006008","TOLL pathway"
"OG0006032","Apoptosis/ Autophagy (autophagy)"
"OG0006050","JNK pathway"
"OG0006053","Serine Proteases/Serpins"
"OG0006060","Lysozymes"
"OG0006095","JAK/STAT pathway"
"OG0006107","Serine Proteases/Serpins"
"OG0006109","IMD pathway"
"OG0006115","IMD pathway"
"OG0006153","IMD pathway"
"OG0006159","TOLL pathway"
"OG0006199","IMD pathway"
"OG0006215","Microbial recognition"
"OG0006222","TOLL pathway"
"OG0006230","JNK pathway"
"OG0006270","ROS pathway"
"OG0006346","Melanization"
"OG0006429","Apoptosis/ Autophagy (apoptosis)"
"OG0006498","TOLL pathway"
"OG0006621","Apoptosis/ Autophagy (autophagy)"
"OG0006624","Lysozymes"
"OG0006633","JAK/STAT pathway"
"OG0006643","Lysozymes"
"OG0006659","Microbial recognition"
"OG0006674","Microbial recognition"
"OG0006685","IMD pathway"
"OG0006696","Lysozymes"
"OG0006702","Cellular immune response"
"OG0006722","IMD pathway"
"OG0006753","Hematopoesis and cellular response"
"OG0006817","TOLL pathway"
"OG0006847","Melanization"
"OG0006907","TOLL pathway"
"OG0006932","TOLL pathway"
"OG0007091","IMD pathway"
"OG0007129","TOLL pathway"
"OG0007138","Eiger/Wengen pathway"
"OG0007167","TOLL pathway"
"OG0007187","IMD pathway"
"OG0007225","Cellular immune response"
"OG0007268","Melanization"
"OG0007342","Lysozymes"
"OG0007374","IMD pathway"
"OG0007394","Melanization"
"OG0007412","Serine Proteases/Serpins"
"OG0007426","Apoptosis/ Autophagy (apoptosis)"
"OG0007448","TOLL pathway"
"OG0007449","IMD pathway"
"OG0007468","IMD pathway"
"OG0007547","Melanization"
"OG0007552","Melanization"
"OG0007598","Melanization"
"OG0007656","TOLL pathway"
"OG0007739","Apoptosis/ Autophagy (apoptosis)"
"OG0007740","Lysozymes"
"OG0007808","Serine Proteases/Serpins"
"OG0007872","Apoptosis/ Autophagy (autophagy)"
"OG0007936","Serine Proteases/Serpins"
"OG0007937","Serine Proteases/Serpins"
"OG0008012","IMD pathway"
"OG0008020","Eiger/Wengen pathway"
"OG0008126","TOLL pathway"
"OG0008131","IMD pathway"
"OG0008150","Microbial recognition"
"OG0008225","IMD pathway"
"OG0008246","Apoptosis/ Autophagy (apoptosis)"
"OG0008277","Antimicrobial peptides"
"OG0008296","IMD pathway"
"OG0008355","Lysozymes"
"OG0008357","Antimicrobial peptides"
"OG0008483","Hematopoesis and cellular response"
"OG0008497","IMD pathway"
"OG0008522","Stress response"
"OG0008527","IMD pathway"
"OG0008586","TOLL pathway"
"OG0008774","Other Humoral response"
"OG0008932","TOLL pathway"
"OG0008968","Coagulation"
"OG0008974","Antimicrobial peptides"
"OG0009296","IMD pathway"
"OG0009447","Antimicrobial peptides"
"OG0009488","Serine Proteases/Serpins"
"OG0009490","Antimicrobial peptides"
"OG0009730","Iron metabolism"
"OG0009735","Iron metabolism"
"OG0009877","Antimicrobial peptides"
"OG0010289","JNK pathway"
"OG0010298","Melanization"
"OG0010300","Serine Proteases/Serpins"
"OG0010416","Serine Proteases/Serpins"
"OG0010501","Antimicrobial peptides"
"OG0010725","TOLL pathway"
"OG0011824","Microbial recognition"
"OG0011837","Coagulation"
"OG0011920","Serine Proteases/Serpins"
"OG0012009","TOLL pathway"
"OG0012040","Apoptosis/ Autophagy (autophagy)"
"OG0012042","Coagulation"
"OG0012066","Antimicrobial response"
"OG0012956","TOLL pathway"
"OG0013021","Hematopoesis and cellular response"
